index,input_TL,output_han,output_TL,option
1,aab,尪仔面,ang-á-bīn,
2,aab,翁仔某,,
3,aak,頷仔頸,,
4,aak,鴨仔囝,ah-á-kiánn,
5,aam,尪仔物,ang-á-mi̍h/ang-á-mn̍gh,
6,aan,頷仔領,,
7,aap,盒仔餅,a̍p-á-piánn,
8,aaph,尪仔標,ang-á-phiau,
9,aat,鴨仔癉,ah-á-tan,
10,aath,尪仔頭,ang-á-thâu,
11,aats,尪仔書,,
12,aatsh,尪仔冊,ang-á-tsheh,
13,ab,𧌄梅,,
14,aba,阿母仔,,
15,aba,泔糜仔,ám-muê-á/ám-bê-á,
16,aba,後尾仔,,
17,aba,紅面鴨,âng-bīn-ah,
18,aba,鴨咪仔,ah-bî-á,
19,aba,𧌄梅仔,,
20,abb,後母面,āu-bú-bīn,
21,abb,暗眠摸,àm-bîn-bong,
22,abb,暗漠漠,àm-bo̍k-bo̍k,
23,abe,猶未,iáu-buē/iáu-bē,
24,abitsok,阿美族,,
25,abk,紅目墘,âng-ba̍k-kînn,
26,abl,紅目鰱,âng-ba̍k-liân,
27,abl,紅肉李,âng-bah-lí,
28,abm,後尾門,,
29,abo,阿母,a-bú,
30,abor,阿母,a-bú,
31,abt,紅尾冬,âng-bué-tang/âng-bé-tang,
32,abt,鴨母蹄,ah-bó-tê,
33,abth,紅毛塗,âng-mn̂g-thôo,
34,abts,阿美族,,
35,abtsh,鴨母喙,ah-bó-tshuì,
36,abu,阿母,a-bú,
37,abua,阿母仔,,
38,abue,猶未,iáu-buē/iáu-bē,
39,abunthoo,紅毛塗,âng-mn̂g-thôo,
40,aea,紅嬰仔,âng-enn-á/âng-inn-á,
41,aga,偝囡仔,,
42,agj,後月日,āu gue̍h-ji̍t/āu ge̍h-li̍t,
43,agl,後月日,āu gue̍h-ji̍t/āu ge̍h-li̍t,
44,ags,紅外線,âng-guā-suànn,
45,aha,盒仔,a̍p-á,
46,aha,鴨仔,ah-á,
47,aha,鴨雄仔,ah-hîng-á,
48,ahakann,鴨仔囝,ah-á-kiánn,
49,ahakiann,鴨仔囝,ah-á-kiánn,
50,ahas,鴨雄仔聲,,
51,ahatan,鴨仔癉,ah-á-tan,
52,ahau,押後,ah-āu,
53,ahbe,猶未,iáu-buē/iáu-bē,
54,ahbi,壓味,ah-bī,
